token_ID_within_document,word,lemma,before,after,word_lc
706,delayed,delay,#, ,delayed
707,Teutonic,teutonic,#, ,teutonic
708,migration,migration,#, ,migration
709,known,know,#, ,known
710,as,as,#, ,as
711,the,the,#, ,the
712,Great,Great,#, ,great
713,War,War,#,#,war
714,.,.,#, ,.
715,I,I,#, ,i
716,enjoyed,enjoy,#, ,enjoyed
717,the,the,#, ,the
718,counter,counter,#,#,counter
719,-,-,#,#,-
720,raid,raid,#, ,raid
721,so,so,#, ,so
722,thoroughly,thoroughly,#, ,thoroughly
723,that,that,#, ,that
724,I,I,#, ,i
725,came,come,#, ,came
726,back,back,#, ,back
727,restless,restless,#,#,restless
728,.,.,#, ,.
729,Instead,instead,#, ,instead
730,of,of,#, ,of
731,being,be,#, ,being
732,the,the,#, ,the
733,warm,warm,#, ,warm
734,centre,centre,#, ,centre
735,of,of,#, ,of
736,the,the,#, ,the
737,world,world,#,#,world
738,",",",",#, ,","
739,the,the,#, ,the
740,Middle,Middle,#, ,middle
741,West,West,#, ,west
742,now,now,#, ,now
743,seemed,seem,#, ,seemed
744,like,like,#, ,like
745,the,the,#, ,the
746,ragged,ragged,#, ,ragged
747,edge,edge,#, ,edge
748,of,of,#, ,of
749,the,the,#, ,the
750,universe,universe,#,#,universe
751,-,-,#,#,-
752,so,so,#, ,so
753,I,I,#, ,i
754,decided,decide,#, ,decided
755,to,to,#, ,to
756,go,go,#, ,go
757,East,East,#, ,east
758,and,and,#, ,and
759,learn,learn,#, ,learn
760,the,the,#, ,the
761,bond,bond,#, ,bond
762,business,business,#,#,business
763,.,.,#, ,.
764,Everybody,everybody,#, ,everybody
765,I,I,#, ,i
766,knew,know,#, ,knew
767,was,be,#, ,was
768,in,in,#, ,in
769,the,the,#, ,the
770,bond,bond,#, ,bond
771,business,business,#,#,business
772,",",",",#, ,","
773,so,so,#, ,so
774,I,I,#, ,i
775,supposed,suppose,#, ,supposed
776,it,it,#, ,it
777,could,could,#, ,could
778,support,support,#, ,support
779,one,one,#, ,one
780,more,more,#, ,more
781,single,single,#, ,single
782,man,man,#,#,man
783,.,.,#, ,.
784,All,all,#, ,all
785,my,my,#, ,my
786,aunts,aunt,#, ,aunts
787,and,and,#, ,and
788,uncles,uncle,#, ,uncles
789,talked,talk,#, ,talked
790,it,it,#, ,it
791,over,over,#, ,over
792,as,as,#, ,as
793,if,if,#, ,if
794,they,they,#, ,they
795,were,be,#, ,were
796,choosing,choose,#, ,choosing
797,a,a,#, ,a
798,prep,prep,#, ,prep
799,school,school,#, ,school
800,for,for,#, ,for
801,me,I,#,#,me
802,",",",",#, ,","
803,and,and,#, ,and
804,finally,finally,#, ,finally
805,said,say,#,#,said
806,",",",",#, ,","
807,"""",3993,#,#,""""
808,Why,why,#,#,why
809,-,-,#,#,-
810,ye,ye,#,#,ye
811,-,-,#,#,-
812,es,es,#,#,es
813,",",",",#,#,","
814,"""",4004,#, ,""""
815,with,with,#, ,with
816,very,very,#, ,very
817,grave,grave,#,#,grave
818,",",",",#, ,","
819,hesitant,hesitant,#, ,hesitant
